0,# 0 0 target:0 c+:76 c-:938 score:1560.4775266691086 score+:1238.872868090461 score-:10289.64252277129 nb:8 =l_0c_9 l_0c_13 l_0c_4 l_0c_2 l_0c_16 l_0c_10 l_0c_12 l_0c_8 
1,# 1 1 target:0 c+:333 c-:1352 score:1302.1808568257654 score+:7567.1425939109495 score-:19807.642648073142 nb:14 =l_0c_13 l_0c_7 l_0c_5 l_0c_14 l_0c_11 l_0c_1 l_0c_16 l_0c_3 l_0c_8 l_0c_12 l_0c_0 l_0c_2 l_0c_10 l_0c_4 
2,# 2 2 target:0 c+:260 c-:973 score:811.4837786336711 score+:3154.4740892526747 score-:8834.86053968837 nb:10 =l_0c_16 l_0c_2 l_0c_10 l_0c_12 l_0c_14 l_0c_3 l_0c_8 l_0c_18 l_0c_17 l_0c_15 
3,# 3 3 target:0 c+:63 c-:905 score:264.7764134747463 score+:675.0582238425668 score-:1893.0297258263997 nb:6 =l_0c_9 l_0c_13 l_0c_4 l_0c_2 l_0c_10 l_0c_15 
4,# 4 4 target:0 c+:1015 c-:1906 score:368.8903164173712 score+:9802.769536220556 score-:11942.33337144131 nb:8 =l_0c_7 l_0c_11 l_0c_0 l_0c_8 l_0c_10 l_0c_17 l_0c_3 l_0c_19 
5,# 5 5 target:0 c+:1394 c-:2402 score:220.9255050499305 score+:11110.194459577706 score-:12259.007085837344 nb:7 =l_0c_16 l_0c_11 l_0c_12 l_0c_6 l_0c_17 l_0c_3 l_0c_19 
6,# 6 6 target:0 c+:70 c-:288 score:148.26075130283945 score+:1280.8734892313103 score-:2229.7422975694826 nb:9 =l_0c_9 l_0c_13 l_0c_4 l_0c_2 l_0c_5 l_0c_6 l_0c_12 l_0c_16 l_0c_11 
7,# 7 7 target:0 c+:172 c-:471 score:341.01669000193897 score+:3900.547985907268 score-:6901.49485792433 nb:13 =l_0c_13 l_0c_5 l_0c_1 l_0c_16 l_0c_3 l_0c_8 l_0c_12 l_0c_11 l_0c_0 l_0c_2 l_0c_10 l_0c_6 l_0c_4 
8,# 8 8 target:0 c+:21 c-:56 score:36.836318911736555 score+:312.7778101613224 score-:548.5302511964363 nb:9 =l_0c_9 l_0c_2 l_0c_10 l_0c_12 l_0c_4 l_0c_18 l_0c_17 l_0c_6 l_0c_15 
9,# 9 9 target:0 c+:86 c-:838 score:78.66258340418048 score+:261.9306494256485 score-:434.98833291484556 nb:2 =l_0c_9 l_0c_3 
10,# 10 0 target:1 c+:1126 c-:1227 score:745.1091036342391 score+:14188.636889856405 score-:9867.00408877782 nb:8 =l_0c_16 l_0c_0 l_0c_10 l_0c_12 l_0c_8 l_0c_3 l_0c_18 l_0c_17 
11,# 11 1 target:1 c+:1016 c-:1040 score:629.8926631537515 score+:12922.568964525659 score-:8513.3203224494 nb:10 =l_0c_0 l_0c_2 l_0c_10 l_0c_12 l_0c_8 l_0c_3 l_0c_18 l_0c_17 l_0c_6 l_0c_19 
12,# 12 2 target:1 c+:445 c-:299 score:490.21358304279 score+:2950.024426843447 score-:1283.2982444979612 nb:4 =l_0c_7 l_0c_1 l_0c_11 l_0c_6 
13,# 13 3 target:1 c+:268 c-:133 score:318.18194031931745 score+:3587.7157550691113 score-:1169.5330086422996 nb:11 =l_0c_5 l_0c_16 l_0c_12 l_0c_0 l_0c_3 l_0c_8 l_0c_2 l_0c_10 l_0c_14 l_0c_4 l_0c_17 
14,# 14 4 target:1 c+:241 c-:210 score:167.48230829144617 score+:1811.217108949821 score-:1040.7984908091687 nb:6 =l_0c_13 l_0c_16 l_0c_0 l_0c_3 l_0c_8 l_0c_17 
15,# 15 5 target:1 c+:696 c-:896 score:161.7087194068598 score+:2123.438106654024 score-:1767.6789239589323 nb:2 =l_0c_1 l_0c_15 
