,dataset,metric,graphid,rule,pred,fidelity,infidelity,mags,spars
0,ba2,cosine,0,0,0.7222261428833008,0.7222261428833008,0,15,0.0
0,ba2,cosine,0,1,0.7222261428833008,0.38169434666633606,0.7258201241493225,5,0.2
0,ba2,cosine,0,2,0.7222261428833008,0.14374518394470215,0.651836633682251,3,0.72
0,ba2,cosine,0,3,0.7222261428833008,0.7222261428833008,0,2,0.0
0,ba2,cosine,0,4,0.7222261428833008,0.7222261428833008,0,4,0.0
0,ba2,cosine,0,5,0.7222261428833008,0.7364557385444641,0.7165688276290894,2,0.64
0,ba2,cosine,0,6,0.7222261428833008,0.1437452882528305,0.535832941532135,2,0.68
0,ba2,cosine,0,7,0.7222261428833008,0.7222261428833008,0,3,0.0
0,ba2,cosine,0,8,0.7222261428833008,0.297700434923172,0.7144733667373657,2,0.28
0,ba2,cosine,0,9,0.7222261428833008,0.7222261428833008,0,3,0.0
0,ba2,cosine,0,10,0.7222261428833008,0.19400057196617126,0.7321114540100098,3,0.16
0,ba2,cosine,0,11,0.7222261428833008,0.7222261428833008,0,3,0.0
0,ba2,cosine,0,12,0.7222261428833008,0.7222261428833008,0,3,0.0
0,ba2,cosine,0,13,0.7222261428833008,0.7222261428833008,0,3,0.0
0,ba2,cosine,0,14,0.7222261428833008,0.7222261428833008,0,3,0.0
0,ba2,cosine,0,15,0.7222261428833008,0.20095811784267426,0.45713067054748535,3,0.24
0,ba2,cosine,0,16,0.7222261428833008,0.7222261428833008,0,3,0.0
0,ba2,cosine,0,17,0.7222261428833008,0.7222261428833008,0,3,0.0
0,ba2,cosine,0,18,0.7222261428833008,0.36742332577705383,0.7364557385444641,3,0.12
0,ba2,cosine,0,19,0.7222261428833008,0.36742332577705383,0.7364557385444641,3,0.12
0,ba2,cosine,0,20,0.7222261428833008,0.14374518394470215,0.722759485244751,3,0.36
0,ba2,cosine,0,21,0.7222261428833008,0.7222261428833008,0,3,0.0
0,ba2,cosine,0,22,0.7222261428833008,0.38169434666633606,0.7258201241493225,4,0.2
0,ba2,cosine,0,23,0.7222261428833008,0.36742332577705383,0.7364557385444641,3,0.12
0,ba2,cosine,0,24,0.7222261428833008,0.7222261428833008,0,4,0.0
0,ba2,cosine,1,0,0.7249153852462769,0.7249153852462769,0,15,0.0
0,ba2,cosine,1,1,0.7249153852462769,0.35878485441207886,0.7258201241493225,5,0.2
0,ba2,cosine,1,2,0.7249153852462769,0.14374525845050812,0.6543624401092529,3,0.72
0,ba2,cosine,1,3,0.7249153852462769,0.7249153852462769,0,2,0.0
0,ba2,cosine,1,4,0.7249153852462769,0.7249153852462769,0,4,0.0
0,ba2,cosine,1,5,0.7249153852462769,0.2163023203611374,0.3504234254360199,2,0.68
0,ba2,cosine,1,6,0.7249153852462769,0.20596842467784882,0.358451783657074,2,0.64
0,ba2,cosine,1,7,0.7249153852462769,0.7249153852462769,0,3,0.0
0,ba2,cosine,1,8,0.7249153852462769,0.6012375950813293,0.7114473581314087,2,0.32
0,ba2,cosine,1,9,0.7249153852462769,0.7249153852462769,0,3,0.0
0,ba2,cosine,1,10,0.7249153852462769,0.7249153852462769,0,3,0.0
0,ba2,cosine,1,11,0.7249153852462769,0.7249153852462769,0,3,0.0
0,ba2,cosine,1,12,0.7249153852462769,0.7249153852462769,0,3,0.0
0,ba2,cosine,1,13,0.7249153852462769,0.7249153852462769,0,3,0.0
0,ba2,cosine,1,14,0.7249153852462769,0.7249153852462769,0,3,0.0
0,ba2,cosine,1,15,0.7249153852462769,0.37828686833381653,0.7257567644119263,3,0.2
0,ba2,cosine,1,16,0.7249153852462769,0.7249153852462769,0,3,0.0
0,ba2,cosine,1,17,0.7249153852462769,0.7249153852462769,0,3,0.0
0,ba2,cosine,1,18,0.7249153852462769,0.35929185152053833,0.7364557385444641,3,0.12
0,ba2,cosine,1,19,0.7249153852462769,0.35929185152053833,0.7364557385444641,3,0.12
0,ba2,cosine,1,20,0.7249153852462769,0.21078532934188843,0.5382859706878662,3,0.32
0,ba2,cosine,1,21,0.7249153852462769,0.7249153852462769,0,3,0.0
0,ba2,cosine,1,22,0.7249153852462769,0.35878485441207886,0.7258201241493225,4,0.2
0,ba2,cosine,1,23,0.7249153852462769,0.7249153852462769,0,3,0.0
0,ba2,cosine,1,24,0.7249153852462769,0.2241995930671692,0.6800621747970581,4,0.56
0,ba2,cosine,2,0,0.7271881699562073,0.7271881699562073,0,15,0.0
0,ba2,cosine,2,1,0.7271881699562073,0.35845497250556946,0.7258201241493225,5,0.2
0,ba2,cosine,2,2,0.7271881699562073,0.14374518394470215,0.5365132093429565,3,0.72
0,ba2,cosine,2,3,0.7271881699562073,0.7271881699562073,0,2,0.0
0,ba2,cosine,2,4,0.7271881699562073,0.7271881699562073,0,4,0.0
0,ba2,cosine,2,5,0.7271881699562073,0.23013263940811157,0.36179089546203613,2,0.72
0,ba2,cosine,2,6,0.7271881699562073,0.24901007115840912,0.3667873740196228,2,0.68
0,ba2,cosine,2,7,0.7271881699562073,0.3357062339782715,0.7208060622215271,3,0.16
0,ba2,cosine,2,8,0.7271881699562073,0.3372526168823242,0.7321114540100098,2,0.16
0,ba2,cosine,2,9,0.7271881699562073,0.7271881699562073,0,3,0.0
0,ba2,cosine,2,10,0.7271881699562073,0.7271881699562073,0,3,0.0
