,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59
0,0,0.601,0.601,0.835,0.601,0.686,0.926,0.761,0.601,0.601,0.686,0.777,0.601,0.601,0.601,0.677,0.601,0.601,0.601,0.601,0.601,0.601,0.835,0.601,0.601,0.802,0.601,0.601,0.761,0.601,0.754,0.601,0.601,0.601,0.601,0.601,0.601,0.784,0.601,0.573,0.601,0.601,0.718,0.718,0.601,0.601,0.718,0.601,0.601,0.601,0.601,0.754,0.601,0.601,0.601,0.784,0.601,0.693,0.601,0.601,0.601,0.601
1,1,0.992,0.992,0.926,0.992,0.992,0.926,0.992,0.992,0.992,0.992,0.926,0.942,0.850,0.992,0.992,0.850,0.992,0.991,0.992,0.992,0.992,0.992,0.992,0.992,0.850,0.992,0.992,0.992,0.936,0.992,0.992,0.992,0.850,0.992,0.850,0.992,0.992,0.938,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.850,0.992,0.992,0.936
2,2,0.972,0.972,0.972,0.972,0.972,0.971,0.757,0.972,0.972,0.972,0.846,0.846,0.972,0.972,0.849,0.972,0.972,0.972,0.846,0.972,0.972,0.972,0.972,0.870,0.972,0.896,0.766,0.972,0.707,0.766,0.972,0.846,0.972,0.846,0.972,0.972,0.766,0.972,0.766,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.724,0.972,0.724,0.799,0.454,0.454,0.972,0.972,0.972,0.972
3,3,0.991,0.991,0.991,0.991,0.991,0.991,0.847,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.829,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.832,0.991,0.991,0.980,0.832,0.832,0.980,0.991,0.991,0.991,0.991,0.991,0.846,0.879,0.991,0.980,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.842,0.991,0.842,0.879,0.842,0.842,0.991,0.991,0.991,0.991
4,4,0.958,0.958,0.986,0.840,0.958,0.986,0.899,0.816,0.958,0.958,0.986,0.958,0.958,0.958,0.929,0.958,0.958,0.958,0.958,0.958,0.958,0.986,0.816,0.958,0.961,0.958,0.930,0.958,0.868,0.961,0.958,0.958,0.958,0.958,0.958,0.723,0.930,0.958,0.961,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.907,0.958,0.958,0.985,0.716,0.537,0.892,0.907,0.884,0.716,0.958,0.958,0.958,0.958
5,5,0.888,0.888,0.986,0.888,0.888,0.986,0.874,0.888,0.888,0.888,0.810,0.810,0.731,0.720,0.681,0.720,0.888,0.888,0.810,0.888,0.888,0.986,0.888,0.888,0.986,0.888,0.888,0.874,0.888,0.986,0.888,0.696,0.720,0.810,0.797,0.854,0.602,0.720,0.895,0.888,0.888,0.986,0.965,0.888,0.888,0.986,0.888,0.888,0.961,0.888,0.888,0.610,0.520,0.888,0.577,0.610,0.610,0.629,0.888,0.629,0.888
6,6,0.845,0.845,0.845,0.845,0.609,0.787,0.597,0.845,0.854,0.845,0.845,0.845,0.845,0.845,0.900,0.845,0.854,0.845,0.845,0.845,0.845,0.845,0.845,0.680,0.622,0.718,0.845,0.744,0.744,0.845,0.845,0.845,0.845,0.845,0.845,0.845,0.699,0.845,0.622,0.845,0.845,0.845,0.754,0.845,0.845,0.845,0.845,0.845,0.845,0.845,0.845,0.597,0.602,0.845,0.727,0.597,0.600,0.845,0.845,0.845,0.845
7,7,0.987,0.987,0.987,0.987,0.987,0.963,0.715,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.929,0.987,0.987,0.987,0.987,0.849,0.987,0.987,0.987,0.786,0.987,0.671,0.987,0.788,0.788,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.636,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.789,0.987,0.987,0.771,0.792,0.788,0.987,0.987,0.987,0.987
8,8,0.896,0.896,0.896,0.896,0.882,0.882,0.896,0.896,0.896,0.882,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.882,0.896,0.896,0.882,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.882,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896
9,9,0.956,0.956,0.956,0.956,0.956,0.910,0.800,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.951,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.774,0.956,0.912,0.956,0.779,0.776,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.879,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.663,0.956,0.795,0.956,0.782,0.956,0.956,0.956,0.956
