,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31
0,0,0.804,0.823,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.823,0.804,0.804,0.804,0.823,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804
1,1,0.165,0.135,0.165,0.396,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.327,0.410,0.294,0.165,0.544,0.165,0.165,0.165,0.165,0.373,0.348,0.165,0.255,0.175,0.165,0.165,0.174,0.331,0.218,0.165
2,2,0.716,0.716,0.716,0.658,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.598,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716
3,3,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.672,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758
4,4,0.475,0.475,0.475,0.640,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.318,0.637,0.475,0.573,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.279,0.475,0.571,0.475,0.475,0.475
5,5,0.656,0.656,0.656,0.598,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.668,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656
6,6,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.662,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694
7,7,0.191,0.162,0.191,0.493,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.162,0.278,0.622,0.191,0.644,0.191,0.191,0.191,0.191,0.191,0.162,0.191,0.231,0.191,0.337,0.191,0.219,0.191,0.317,0.191
8,8,0.551,0.551,0.551,0.662,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.395,0.398,0.551,0.395,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.511,0.551,0.551,0.551,0.551,0.551,0.384,0.551
9,9,0.222,0.175,0.222,0.475,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.238,0.409,0.639,0.222,0.491,0.222,0.222,0.222,0.222,0.409,0.250,0.238,0.222,0.213,0.229,0.238,0.251,0.248,0.357,0.222
10,10,0.161,0.119,0.161,0.536,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.104,0.346,0.108,0.161,0.625,0.161,0.161,0.161,0.161,0.357,0.099,0.625,0.137,0.090,0.161,0.135,0.105,0.094,0.607,0.161
11,11,0.247,0.290,0.247,0.638,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.419,0.323,0.256,0.247,0.482,0.247,0.247,0.247,0.247,0.323,0.434,0.322,0.256,0.231,0.247,0.247,0.247,0.247,0.323,0.247
12,12,0.799,0.815,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.815,0.799,0.799,0.799,0.815,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799
13,13,0.808,0.820,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.820,0.808,0.808,0.808,0.820,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808
14,14,0.507,0.507,0.507,0.577,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.577,0.332,0.507,0.577,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.577,0.507,0.507,0.507,0.507,0.507,0.507,0.507
15,15,0.281,0.281,0.281,0.521,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.217,0.330,0.281,0.581,0.281,0.281,0.281,0.281,0.552,0.171,0.281,0.143,0.281,0.281,0.187,0.281,0.175,0.188,0.281
16,16,0.421,0.421,0.421,0.545,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.438,0.220,0.421,0.438,0.421,0.421,0.421,0.421,0.421,0.421,0.485,0.476,0.421,0.421,0.421,0.421,0.421,0.204,0.421
17,17,0.201,0.197,0.201,0.639,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.367,0.463,0.363,0.201,0.658,0.201,0.201,0.201,0.201,0.201,0.391,0.201,0.201,0.454,0.452,0.201,0.640,0.201,0.360,0.201
18,18,0.132,0.150,0.132,0.416,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.140,0.298,0.219,0.132,0.554,0.132,0.132,0.132,0.132,0.142,0.142,0.157,0.173,0.163,0.132,0.132,0.132,0.159,0.180,0.132
19,19,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.654,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677
20,20,0.364,0.364,0.364,0.520,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.465,0.577,0.364,0.477,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.426,0.459,0.364,0.364,0.364,0.364,0.422,0.364
21,21,0.244,0.188,0.244,0.637,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.660,0.440,0.368,0.244,0.660,0.244,0.244,0.244,0.244,0.514,0.660,0.244,0.244,0.427,0.351,0.244,0.244,0.514,0.351,0.244
