,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,r101,r102,r103,r104,r105,r106,r107,r108,r109,r110,r111,r112,r113,r114,r115,r116,r117,r118,r119
0,0,0.938,0.938,0.621,0.938,0.938,0.940,0.987,0.938,0.938,0.938,0.938,0.882,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.621,0.938,0.883,0.690,0.938,0.938,0.883,0.938,0.931,0.690,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.882,0.938,0.883,0.882,0.883,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.621,0.938,0.938,0.940,0.987,0.938,0.938,0.938,0.938,0.882,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.621,0.938,0.883,0.690,0.938,0.938,0.883,0.938,0.931,0.690,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.882,0.938,0.883,0.882,0.883,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
1,1,0.951,0.929,0.951,0.951,0.951,0.917,0.993,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.953,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.953,0.953,0.953,0.951,0.951,0.953,0.953,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.953,0.953,0.951,0.953,0.951,0.951,0.951,0.951,0.953,0.953,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.929,0.951,0.951,0.951,0.917,0.993,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.953,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.953,0.953,0.953,0.951,0.951,0.953,0.953,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.953,0.953,0.951,0.953,0.951,0.951,0.951,0.951,0.953,0.953,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951
2,2,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3,3,0.021,0.014,0.014,0.021,0.021,0.021,0.012,0.021,0.008,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.041,0.039,0.014,0.013,0.014,0.021,0.013,0.015,0.021,0.013,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.008,0.008,0.039,0.039,0.015,0.038,0.021,0.039,0.039,0.008,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.014,0.014,0.021,0.021,0.021,0.012,0.021,0.008,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.041,0.039,0.014,0.013,0.014,0.021,0.013,0.015,0.021,0.013,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.008,0.008,0.039,0.039,0.015,0.038,0.021,0.039,0.039,0.008,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
4,4,0.995,0.995,0.995,0.900,0.900,0.741,0.995,0.995,0.900,0.848,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.867,0.900,0.995,0.995,0.995,0.995,0.900,0.995,0.900,0.995,0.995,0.995,0.995,0.808,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.900,0.995,0.735,0.735,0.995,0.900,0.995,0.735,0.995,0.867,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.900,0.900,0.741,0.995,0.995,0.900,0.848,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.867,0.900,0.995,0.995,0.995,0.995,0.900,0.995,0.900,0.995,0.995,0.995,0.995,0.808,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.900,0.995,0.735,0.735,0.995,0.900,0.995,0.735,0.995,0.867,0.995,0.995,0.995,0.995,0.995,0.995,0.995
5,5,0.819,0.909,0.909,0.819,0.914,0.886,0.819,0.819,0.626,0.579,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.855,0.855,0.909,0.819,0.819,0.819,0.819,0.855,0.819,0.819,0.819,0.819,0.819,0.819,0.626,0.819,0.819,0.819,0.819,0.819,0.855,0.855,0.915,0.855,0.819,0.568,0.819,0.819,0.855,0.855,0.585,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.909,0.909,0.819,0.914,0.886,0.819,0.819,0.626,0.579,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.855,0.855,0.909,0.819,0.819,0.819,0.819,0.855,0.819,0.819,0.819,0.819,0.819,0.819,0.626,0.819,0.819,0.819,0.819,0.819,0.855,0.855,0.915,0.855,0.819,0.568,0.819,0.819,0.855,0.855,0.585,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819
6,6,0.831,0.831,0.831,0.831,0.723,0.907,0.831,0.831,0.831,0.831,0.831,0.938,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.907,0.907,0.724,0.831,0.831,0.831,0.831,0.831,0.938,0.723,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.907,0.907,0.715,0.907,0.831,0.831,0.831,0.928,0.907,0.907,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.723,0.907,0.831,0.831,0.831,0.831,0.831,0.938,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.907,0.907,0.724,0.831,0.831,0.831,0.831,0.831,0.938,0.723,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.907,0.907,0.715,0.907,0.831,0.831,0.831,0.928,0.907,0.907,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831
7,7,0.809,0.936,0.935,0.923,0.923,0.931,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.935,0.809,0.809,0.809,0.809,0.809,0.809,0.931,0.936,0.935,0.809,0.809,0.809,0.935,0.935,0.809,0.809,0.809,0.935,0.809,0.809,0.809,0.809,0.935,0.809,0.809,0.809,0.935,0.935,0.809,0.935,0.809,0.809,0.809,0.809,0.935,0.935,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.936,0.935,0.923,0.923,0.931,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.935,0.809,0.809,0.809,0.809,0.809,0.809,0.931,0.936,0.935,0.809,0.809,0.809,0.935,0.935,0.809,0.809,0.809,0.935,0.809,0.809,0.809,0.809,0.935,0.809,0.809,0.809,0.935,0.935,0.809,0.935,0.809,0.809,0.809,0.809,0.935,0.935,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809
8,8,0.994,0.994,0.994,0.994,0.945,0.994,0.994,0.985,0.994,0.994,0.967,0.994,0.994,0.994,0.967,0.994,0.976,0.994,0.994,0.994,0.994,0.994,0.994,0.976,0.994,0.967,0.994,0.967,0.967,0.994,0.994,0.967,0.967,0.994,0.994,0.994,0.994,0.967,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.967,0.994,0.994,0.967,0.994,0.967,0.967,0.967,0.967,0.994,0.967,0.967,0.994,0.967,0.967,0.967,0.994,0.994,0.994,0.945,0.994,0.994,0.985,0.994,0.994,0.967,0.994,0.994,0.994,0.967,0.994,0.976,0.994,0.994,0.994,0.994,0.994,0.994,0.976,0.994,0.967,0.994,0.967,0.967,0.994,0.994,0.967,0.967,0.994,0.994,0.994,0.994,0.967,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.967,0.994,0.994,0.967,0.994,0.967,0.967,0.967,0.967,0.994,0.967,0.967,0.994,0.967,0.967,0.967
9,9,0.005,0.030,0.030,0.007,0.029,0.041,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.039,0.034,0.030,0.005,0.006,0.005,0.005,0.019,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.035,0.035,0.034,0.034,0.009,0.005,0.005,0.035,0.034,0.035,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.030,0.030,0.007,0.029,0.041,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.039,0.034,0.030,0.005,0.006,0.005,0.005,0.019,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.035,0.035,0.034,0.034,0.009,0.005,0.005,0.035,0.034,0.035,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
