,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59
0,0,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.047,0.313,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.054,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.021,0.047,0.122,0.122,0.279,0.122,0.144,0.122,0.122,0.122,0.122,0.151,0.122,0.122
1,1,0.114,0.114,0.114,0.114,0.114,0.114,0.140,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.103,0.114,0.114,0.084,0.114,0.114,0.114,0.114,0.147,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.084,0.114,0.114,0.099,0.114,0.114,0.114,0.114,0.114,0.114
2,2,0.795,0.795,0.795,0.795,0.795,0.571,0.871,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.638,0.795,0.571,0.795,0.795,0.571,0.795,0.795,0.795,0.795,0.571,0.571,0.795,0.795,0.795,0.795,0.795,0.795,0.571,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795
3,3,0.053,0.053,0.053,0.053,0.053,0.053,0.046,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.013,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.080,0.053,0.053,0.053,0.053,0.357,0.053,0.053,0.053,0.053,0.357,0.053,0.053
4,4,0.043,0.043,0.019,0.043,0.028,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.116,0.043,0.015,0.043,0.043,0.043,0.043,0.022,0.028,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.028,0.028,0.043,0.043,0.043,0.043,0.056,0.043,0.043,0.067,0.043,0.043,0.043,0.011,0.043,0.043
5,5,0.017,0.049,0.017,0.017,0.049,0.027,0.192,0.017,0.017,0.017,0.049,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.007,0.042,0.049,0.012,0.017,0.007,0.017,0.017,0.012,0.013,0.017,0.017,0.017,0.017,0.017,0.017,0.087,0.017,0.017,0.017,0.078,0.078,0.165,0.008,0.013,0.088,0.092,0.017,0.017,0.009,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
6,6,0.101,0.669,0.101,0.101,0.669,0.101,0.207,0.101,0.101,0.101,0.669,0.027,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.184,0.101,0.067,0.101,0.669,0.101,0.101,0.071,0.101,0.101,0.101,0.101,0.015,0.101,0.101,0.101,0.101,0.101,0.265,0.101,0.101,0.101,0.669,0.067,0.101,0.051,0.067,0.151,0.662,0.101,0.101,0.067,0.184,0.101,0.101,0.101,0.101,0.101,0.101,0.041,0.101,0.101
7,7,0.256,0.256,0.256,0.256,0.256,0.256,0.479,0.256,0.256,0.256,0.256,0.070,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.075,0.256,0.256,0.256,0.256,0.256,0.775,0.604,0.256,0.256,0.256,0.256,0.198,0.272,0.256,0.256,0.256,0.256,0.157,0.256,0.256,0.256,0.256,0.256,0.197,0.197,0.256,0.604,0.256,0.256,0.256,0.256,0.437,0.272,0.256,0.256,0.136,0.256,0.256,0.256,0.226,0.256
8,8,0.142,0.142,0.142,0.142,0.142,0.282,0.519,0.142,0.142,0.142,0.142,0.142,0.366,0.142,0.142,0.142,0.142,0.142,0.142,0.280,0.142,0.026,0.142,0.142,0.101,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.026,0.180,0.142,0.142,0.181,0.026,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142
9,9,0.899,0.899,0.899,0.899,0.899,0.899,0.897,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.710,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.795,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.710,0.899,0.882,0.899,0.899,0.899,0.899,0.344,0.899,0.899
