,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59
0,0,0.122,0.122,0.122,0.122,0.139,0.122,0.122,0.122,0.047,0.016,0.122,0.054,0.122,0.122,0.122,0.122,0.122,0.122,0.088,0.086,0.122,0.122,0.010,0.122,0.122,0.122,0.122,0.122,0.010,0.010,0.010,0.122,0.122,0.122,0.122,0.122,0.122,0.010,0.122,0.122,0.122,0.020,0.122,0.020,0.010,0.020,0.021,0.122,0.010,0.020,0.010,0.025,0.122,0.010,0.019,0.122,0.122,0.122,0.010,0.122,0.122
1,1,0.114,0.114,0.063,0.114,0.140,0.114,0.118,0.103,0.114,0.144,0.114,0.099,0.042,0.114,0.114,0.042,0.042,0.114,0.114,0.049,0.114,0.114,0.057,0.050,0.114,0.114,0.114,0.042,0.140,0.081,0.059,0.114,0.114,0.114,0.114,0.114,0.114,0.087,0.114,0.114,0.114,0.069,0.114,0.069,0.066,0.069,0.039,0.069,0.039,0.069,0.069,0.069,0.114,0.069,0.064,0.114,0.114,0.114,0.114,0.114,0.114
2,2,0.795,0.795,0.795,0.795,0.774,0.878,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.774,0.795,0.774,0.774,0.774,0.795,0.795,0.795,0.795,0.774,0.774,0.774,0.795,0.795,0.795,0.795,0.795,0.795,0.774,0.795,0.795,0.795,0.774,0.795,0.795,0.795,0.795,0.862,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795
3,3,0.053,0.053,0.053,0.053,0.044,0.243,0.053,0.053,0.068,0.053,0.053,0.080,0.053,0.084,0.053,0.084,0.053,0.053,0.068,0.176,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.109,0.053,0.053,0.053,0.053,0.169,0.053,0.053,0.053,0.161,0.053,0.053,0.169,0.243,0.161,0.161,0.053,0.243,0.109,0.243,0.053,0.053,0.161,0.161,0.053,0.109,0.053,0.053,0.053,0.053,0.109,0.053,0.053
4,4,0.043,0.038,0.043,0.043,0.065,0.043,0.072,0.028,0.087,0.054,0.043,0.010,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.091,0.043,0.048,0.084,0.043,0.043,0.035,0.061,0.048,0.043,0.048,0.048,0.043,0.043,0.043,0.043,0.043,0.043,0.011,0.043,0.043,0.043,0.061,0.043,0.043,0.043,0.053,0.043,0.053,0.068,0.048,0.043,0.048,0.043,0.043,0.048,0.043,0.043,0.043,0.048,0.043,0.043
5,5,0.017,0.007,0.054,0.007,0.599,0.695,0.017,0.007,0.017,0.054,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.130,0.017,0.080,0.052,0.080,0.682,0.007,0.017,0.054,0.599,0.052,0.080,0.017,0.017,0.017,0.017,0.017,0.017,0.080,0.017,0.017,0.017,0.052,0.080,0.080,0.080,0.052,0.052,0.080,0.054,0.017,0.080,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
6,6,0.101,0.067,0.043,0.033,0.662,0.101,0.101,0.067,0.101,0.060,0.101,0.199,0.101,0.101,0.101,0.101,0.082,0.101,0.101,0.087,0.101,0.060,0.084,0.049,0.101,0.033,0.101,0.072,0.135,0.049,0.084,0.051,0.101,0.101,0.101,0.101,0.101,0.049,0.101,0.101,0.101,0.060,0.075,0.084,0.049,0.043,0.101,0.084,0.049,0.101,0.084,0.082,0.101,0.029,0.051,0.101,0.051,0.101,0.029,0.101,0.101
7,7,0.256,0.256,0.150,0.256,0.463,0.411,0.604,0.256,0.256,0.150,0.256,0.327,0.234,0.256,0.256,0.441,0.256,0.256,0.256,0.138,0.256,0.256,0.256,0.225,0.256,0.256,0.604,0.169,0.356,0.169,0.169,0.148,0.163,0.256,0.327,0.256,0.256,0.056,0.256,0.256,0.256,0.151,0.169,0.256,0.148,0.151,0.080,0.256,0.051,0.151,0.151,0.138,0.216,0.148,0.256,0.051,0.148,0.256,0.148,0.392,0.256
8,8,0.142,0.142,0.142,0.142,0.163,0.157,0.142,0.142,0.026,0.152,0.142,0.142,0.399,0.142,0.142,0.399,0.142,0.142,0.142,0.308,0.142,0.159,0.146,0.161,0.665,0.142,0.142,0.152,0.086,0.086,0.159,0.142,0.142,0.142,0.142,0.142,0.142,0.159,0.142,0.142,0.142,0.086,0.663,0.142,0.161,0.086,0.086,0.142,0.142,0.142,0.161,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142
9,9,0.899,0.899,0.899,0.899,0.770,0.756,0.899,0.899,0.899,0.899,0.899,0.441,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.847,0.899,0.899,0.899,0.757,0.899,0.899,0.899,0.899,0.666,0.899,0.899,0.770,0.899,0.899,0.899,0.899,0.899,0.666,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.756,0.899,0.666,0.666,0.899,0.899,0.899,0.666,0.899,0.899
10,10,0.955,0.955,0.955,0.955,0.367,0.955,0.955,0.955,0.367,0.955,0.955,0.801,0.740,0.367,0.955,0.367,0.847,0.955,0.367,0.757,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.801,0.310,0.955,0.817,0.818,0.367,0.817,0.955,0.367,0.114,0.955,0.955,0.367,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.740,0.801,0.114,0.114,0.801,0.740,0.955,0.310,0.955,0.284
11,11,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.212,0.917,0.917,0.768,0.917,0.917,0.768,0.917,0.133,0.917,0.053,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.133,0.917,0.646,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.095,0.917,0.917,0.053,0.117,0.917,0.917,0.111,0.917,0.917,0.917,0.917,0.917
12,12,0.974,0.974,0.974,0.974,0.970,0.974,0.747,0.974,0.974,0.974,0.974,0.901,0.866,0.974,0.974,0.867,0.974,0.469,0.974,0.411,0.974,0.974,0.974,0.974,0.974,0.974,0.519,0.974,0.974,0.469,0.469,0.901,0.616,0.974,0.901,0.974,0.974,0.899,0.974,0.974,0.974,0.974,0.349,0.974,0.974,0.974,0.322,0.974,0.974,0.974,0.974,0.067,0.164,0.349,0.899,0.164,0.899,0.899,0.974,0.974,0.974
13,13,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.795,0.975,0.975,0.795,0.975,0.975,0.975,0.795,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.795,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
14,14,0.179,0.179,0.179,0.777,0.111,0.173,0.179,0.179,0.179,0.179,0.179,0.804,0.177,0.179,0.179,0.177,0.806,0.179,0.179,0.698,0.179,0.179,0.179,0.185,0.179,0.179,0.179,0.179,0.698,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.783,0.179,0.179,0.179,0.179,0.179,0.179,0.468,0.179,0.097,0.179,0.823,0.179,0.179,0.804,0.179,0.179,0.179,0.179,0.179,0.179,0.737,0.179,0.179
15,15,0.400,0.149,0.218,0.076,0.798,0.356,0.400,0.149,0.400,0.218,0.400,0.164,0.198,0.400,0.400,0.246,0.246,0.400,0.400,0.104,0.400,0.218,0.247,0.076,0.400,0.076,0.400,0.218,0.496,0.218,0.247,0.164,0.192,0.400,0.164,0.400,0.400,0.104,0.400,0.400,0.400,0.184,0.247,0.184,0.400,0.218,0.149,0.247,0.149,0.400,0.184,0.180,0.180,0.400,0.198,0.180,0.198,0.198,0.400,0.400,0.400
16,16,0.879,0.879,0.879,0.859,0.218,0.831,0.879,0.879,0.879,0.879,0.879,0.839,0.901,0.259,0.259,0.901,0.907,0.879,0.879,0.818,0.879,0.879,0.879,0.846,0.879,0.879,0.879,0.879,0.820,0.928,0.879,0.835,0.879,0.879,0.879,0.879,0.879,0.829,0.879,0.879,0.879,0.879,0.879,0.879,0.861,0.879,0.215,0.879,0.861,0.879,0.879,0.884,0.879,0.837,0.829,0.879,0.776,0.879,0.829,0.879,0.879
17,17,0.208,0.208,0.132,0.208,0.258,0.477,0.289,0.208,0.208,0.132,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.532,0.208,0.371,0.131,0.082,0.208,0.208,0.208,0.208,0.258,0.141,0.131,0.208,0.208,0.208,0.208,0.208,0.208,0.371,0.208,0.208,0.208,0.371,0.208,0.208,0.208,0.208,0.082,0.208,0.131,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208
18,18,0.197,0.197,0.197,0.197,0.876,0.791,0.197,0.197,0.197,0.197,0.197,0.038,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.747,0.197,0.921,0.693,0.921,0.780,0.197,0.197,0.197,0.693,0.693,0.921,0.281,0.197,0.197,0.197,0.197,0.197,0.779,0.197,0.197,0.197,0.693,0.911,0.780,0.794,0.693,0.876,0.780,0.197,0.197,0.779,0.197,0.197,0.268,0.211,0.197,0.798,0.197,0.796,0.197,0.197
19,19,0.910,0.910,0.910,0.753,0.232,0.910,0.910,0.910,0.233,0.910,0.910,0.797,0.617,0.233,0.910,0.233,0.799,0.910,0.233,0.609,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.170,0.330,0.910,0.821,0.617,0.233,0.821,0.910,0.910,0.117,0.910,0.910,0.233,0.910,0.750,0.910,0.910,0.910,0.910,0.910,0.229,0.910,0.910,0.750,0.797,0.750,0.910,0.797,0.750,0.910,0.116,0.910,0.910
