,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42
0,0,0.122,0.101,0.047,0.101,0.019,0.011,0.122,0.122,0.122,0.122,0.122,0.170,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.054,0.122,0.122,0.122,0.080,0.004,0.122,0.054,0.054,0.122,0.122,0.080,0.122,0.318,0.122,0.122,0.080,0.026,0.122,0.018,0.159
1,1,0.114,0.046,0.114,0.046,0.085,0.039,0.114,0.114,0.038,0.056,0.359,0.097,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.020,0.114,0.114,0.114,0.114,0.147,0.056,0.062,0.046,0.147,0.114,0.056,0.103,0.056,0.056,0.114,0.056,0.103,0.103,0.081,0.079
2,2,0.795,0.795,0.795,0.795,0.862,0.774,0.795,0.795,0.795,0.795,0.795,0.862,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.571,0.795,0.795,0.795,0.795,0.571,0.795,0.571,0.571,0.571,0.795,0.795,0.571,0.795,0.795,0.795,0.795,0.795,0.571,0.795,0.862
3,3,0.053,0.892,0.068,0.892,0.109,0.531,0.053,0.053,0.053,0.053,0.053,0.044,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.077,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.015,0.053,0.053,0.053,0.053,0.053,0.892,0.114,0.244,0.080,0.114,0.114,0.114,0.084,0.357,0.114,0.129
4,4,0.043,0.020,0.043,0.020,0.006,0.048,0.043,0.061,0.019,0.128,0.110,0.014,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.018,0.019,0.028,0.128,0.043,0.008,0.019,0.054,0.020,0.043,0.014,0.043,0.043,0.128,0.028,0.043,0.128,0.028,0.055,0.128,0.043
5,5,0.017,0.017,0.017,0.017,0.599,0.052,0.017,0.049,0.095,0.049,0.017,0.599,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.014,0.007,0.017,0.049,0.017,0.349,0.007,0.008,0.027,0.087,0.017,0.013,0.014,0.051,0.010,0.012,0.017,0.014,0.021,0.049,0.138
6,6,0.101,0.027,0.101,0.027,0.511,0.049,0.101,0.669,0.130,0.669,0.101,0.280,0.101,0.015,0.101,0.101,0.015,0.101,0.015,0.101,0.101,0.101,0.101,0.174,0.071,0.101,0.669,0.101,0.749,0.051,0.174,0.532,0.230,0.064,0.040,0.067,0.151,0.067,0.669,0.208,0.151,0.130,0.147,0.130
7,7,0.256,0.070,0.256,0.070,0.211,0.138,0.256,0.256,0.198,0.256,0.604,0.386,0.256,0.198,0.130,0.198,0.070,0.256,0.070,0.256,0.314,0.256,0.256,0.256,0.256,0.775,0.256,0.256,0.246,0.604,0.256,0.256,0.246,0.055,0.245,0.197,0.197,0.256,0.604,0.604,0.604,0.150,0.196,0.346
8,8,0.142,0.142,0.142,0.142,0.086,0.086,0.142,0.142,0.142,0.142,0.142,0.151,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.039,0.033,0.142,0.142,0.142,0.117,0.033,0.159,0.133,0.418,0.142,0.026,0.042,0.388,0.142,0.142,0.142,0.041,0.040,0.142,0.326
9,9,0.899,0.259,0.899,0.259,0.770,0.666,0.899,0.899,0.899,0.899,0.899,0.770,0.899,0.259,0.899,0.899,0.259,0.899,0.259,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.599,0.899,0.899,0.899,0.599,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.543,0.899,0.899,0.866
