,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36
0,0,0.122,0.096,0.251,0.122,0.105,0.122,0.035,0.173,0.122,0.122,0.122,0.122,0.173,0.122,0.122,0.122,0.122,0.122,0.122,0.048,0.122,0.122,0.122,0.048,0.122,0.122,0.048,0.323,0.122,0.114,0.122,0.122,0.048,0.122,0.122,0.247,0.049,0.122
1,1,0.114,0.209,0.126,0.217,0.538,0.114,0.217,0.127,0.114,0.125,0.114,0.437,0.127,0.114,0.114,0.114,0.114,0.114,0.114,0.217,0.114,0.114,0.114,0.114,0.114,0.120,0.217,0.346,0.114,0.114,0.114,0.194,0.194,0.114,0.194,0.247,0.217,0.194
2,2,0.795,0.795,0.769,0.795,0.795,0.795,0.795,0.769,0.795,0.795,0.795,0.795,0.769,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.330,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795
3,3,0.053,0.039,0.047,0.053,0.767,0.053,0.032,0.055,0.053,0.053,0.053,0.053,0.055,0.032,0.053,0.053,0.053,0.053,0.053,0.039,0.053,0.053,0.053,0.039,0.053,0.053,0.039,0.039,0.053,0.870,0.053,0.039,0.039,0.039,0.039,0.039,0.053,0.039
4,4,0.043,0.024,0.056,0.043,0.024,0.043,0.043,0.046,0.027,0.102,0.028,0.247,0.046,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.044,0.043,0.043,0.043,0.043,0.043,0.043,0.130,0.041,0.011,0.043,0.344,0.044,0.043,0.044,0.044,0.044,0.344
5,5,0.017,0.017,0.015,0.017,0.017,0.017,0.017,0.015,0.007,0.100,0.007,0.017,0.015,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.031,0.017,0.007,0.017,0.016,0.014,0.016,0.017,0.017,0.017,0.017,0.031,0.090,0.007,0.017,0.031,0.017,0.031
6,6,0.101,0.015,0.282,0.148,0.015,0.101,0.101,0.105,0.272,0.053,0.272,0.101,0.105,0.101,0.015,0.101,0.101,0.015,0.101,0.015,0.145,0.101,0.379,0.101,0.101,0.035,0.015,0.340,0.101,0.064,0.101,0.430,0.375,0.627,0.145,0.145,0.121,0.430
7,7,0.256,0.089,0.214,0.256,0.089,0.256,0.414,0.260,0.256,0.244,0.256,0.565,0.260,0.256,0.063,0.481,0.256,0.083,0.256,0.063,0.256,0.622,0.256,0.256,0.256,0.233,0.063,0.522,0.126,0.083,0.083,0.522,0.256,0.083,0.648,0.622,0.528,0.522
8,8,0.142,0.142,0.135,0.142,0.142,0.142,0.482,0.135,0.142,0.142,0.142,0.142,0.135,0.142,0.142,0.142,0.142,0.142,0.142,0.130,0.030,0.142,0.142,0.142,0.130,0.093,0.130,0.142,0.142,0.142,0.142,0.142,0.030,0.142,0.142,0.348,0.142,0.142
9,9,0.899,0.184,0.216,0.899,0.184,0.899,0.899,0.929,0.899,0.899,0.899,0.899,0.929,0.899,0.184,0.899,0.899,0.184,0.899,0.184,0.899,0.899,0.899,0.899,0.899,0.881,0.184,0.745,0.899,0.184,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899
10,10,0.955,0.480,0.930,0.856,0.794,0.955,0.780,0.922,0.955,0.955,0.955,0.955,0.922,0.255,0.727,0.956,0.955,0.475,0.955,0.266,0.955,0.955,0.955,0.255,0.955,0.955,0.266,0.719,0.363,0.961,0.955,0.363,0.955,0.955,0.955,0.955,0.955,0.363
11,11,0.917,0.917,0.918,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.957,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.922,0.957,0.917,0.957,0.957,0.917,0.917,0.917,0.922,0.917,0.957
